average_speed|distance|elapsed_time|elev_high|elev_low|hashed_id|max_speed|moving_time|total_elevation_gain|age_0.0|age_1.0|age_2.0|trainer_onehot|workout_type_10.0|workout_type_11.0|workout_type_12.0|weekday_Friday|weekday_Monday|weekday_Saturday|weekday_Sunday|weekday_Thursday|weekday_Tuesday|weekday_Wednesday|daypart_afternoon|daypart_dawn|daypart_evening|daypart_forenoon|daypart_morning|daypart_night
7.099|102977.0|15212.0|476.6|241.6|4348472.0|21.6|14505.0|968.0|0|1|0|0|1|0|0|0|1|0|0|0|0|0|0|0|0|1|0|0
7.04|64046.5|10964.0|394.8|221.2|4348472.0|17.1|9097.0|768.0|0|1|0|0|1|0|0|0|0|0|0|1|0|0|0|0|0|1|0|0
7.371|38853.7|5271.0|68.4|-27.4|4348472.0|12.7|5271.0|162.0|0|1|0|0|1|0|0|0|1|0|0|0|0|0|1|0|0|0|0|0
8.119|39075.8|6634.0|57.8|-28.2|4348472.0|16.7|4813.0|79.0|0|1|0|0|1|0|0|0|1|0|0|0|0|0|0|0|0|1|0|0
6.8389999999999995|51232.3|7491.0|228.6|-10.2|4348472.0|17.3|7491.0|608.0|0|1|0|0|1|0|0|0|0|0|1|0|0|0|1|0|0|0|0|0
6.513|201682.0|35048.0|501.6|71.6|4348472.0|18.0|30966.0|1941.0|0|1|0|0|1|0|0|0|0|0|0|0|0|1|0|0|0|0|1|0
7.311|100396.0|15037.0|297.2|60.8|4348472.0|19.7|13732.0|967.0|0|1|0|0|1|0|0|0|0|0|1|0|0|0|0|0|0|1|0|0
8.004|33474.1|4989.0|246.0|55.8|4348472.0|13.7|4182.0|255.0|0|1|0|0|1|0|0|0|0|1|0|0|0|0|0|0|0|1|0|0
6.89|38725.9|5637.0|260.6|54.2|4348472.0|15.4|5621.0|446.0|0|1|0|0|1|0|0|0|0|0|0|1|0|0|1|0|0|0|0|0
6.765|72983.4|11396.0|408.2|157.6|4348472.0|17.8|10789.0|780.0|0|1|0|0|1|0|0|0|0|0|1|0|0|0|0|0|0|1|0|0
