average_speed,distance,kmeans,minibatch,spectral
6.695,54299.7,3,4,4
6.5440000000000005,86692.9,2,2,1
5.322,83583.5,2,2,4
6.87,87876.4,2,2,1
7.275,42783.6,3,4,4
5.874,41182.2,3,4,4
5.854,40925.0,3,4,4
7.684,74383.8,2,2,1
3.968,50714.9,4,0,4
4.947,25344.9,4,0,0
5.136,33222.3,4,0,4
4.4830000000000005,29563.4,4,0,3
4.254,25591.2,4,0,3
3.97,47316.0,4,0,4
4.717,27868.2,4,0,0
6.15,48701.8,3,4,4
6.096,88721.1,2,2,1
6.056,83773.0,2,2,1
5.839,42108.3,3,4,4
6.5600000000000005,87000.4,2,2,1
6.05,53377.1,3,4,4
3.793,32446.4,4,0,3
6.325,56465.4,3,4,4
4.351,50408.3,4,0,4
6.126,69378.3,3,2,4
5.367000000000001,40443.0,3,4,4
6.439,52098.1,3,4,4
6.6389999999999985,87028.0,2,2,1
5.567,49827.1,3,4,4
6.961,73194.5,2,2,1
6.059,30763.300000000003,1,3,0
5.191,60818.1,3,4,4
6.939,62677.3,3,2,4
6.107,70428.2,3,2,4
6.005,66562.8,3,4,4
5.184,41352.7,3,4,4
6.705,39044.9,3,4,4
6.747000000000001,34412.2,1,3,0
3.82,35911.0,4,0,3
3.839,10061.099999999999,4,0,3
6.547999999999999,41974.2,3,4,4
6.322,72391.9,2,2,4
4.128,32337.799999999996,4,0,3
4.012,26211.5,4,0,3
5.6389999999999985,38093.2,3,4,4
5.182,37249.6,4,0,4
6.379,97030.5,2,2,1
5.747999999999998,42249.2,3,4,4
6.035,36402.1,3,4,4
6.641,96938.19999999998,2,2,1
5.8260000000000005,49705.6,3,4,4
6.629,77477.0,2,2,1
7.402,54186.1,3,2,4
4.415,41561.5,4,0,4
6.318,84986.2,2,2,1
3.925,27053.1,4,0,3
4.758,56141.5,3,4,4
4.135,34942.9,4,0,3
5.72,66598.0,3,4,4
5.233,42968.1,3,4,4
4.988,28013.5,4,0,0
6.725,77959.1,2,2,1
5.999,80457.6,2,2,1
5.9110000000000005,34629.8,3,4,4
6.466,79862.4,2,2,1
6.849,57539.0,3,4,4
5.872000000000001,62724.8,3,4,4
7.2360000000000015,69893.3,2,2,1
4.586,35618.4,4,0,4
3.861,16565.9,4,0,3
6.033,31710.8,1,3,0
5.897,38381.9,3,4,4
6.64,41251.6,3,4,4
5.9,38831.5,3,4,4
6.582000000000002,52062.6,3,4,4
6.9270000000000005,25206.8,1,3,0
5.926,33223.7,3,3,0
5.478,39381.8,3,4,4
5.4220000000000015,42155.2,3,4,4
5.422999999999999,36370.5,4,4,4
5.5310000000000015,43175.8,3,4,4
4.357,40862.5,4,0,4
6.7170000000000005,92169.0,2,2,1
6.434,41504.2,3,4,4
4.37,41394.3,4,0,4
5.307,33086.2,4,0,4
7.397,74827.7,2,2,1
5.249,42030.6,3,4,4
5.3020000000000005,55373.6,3,4,4
7.093,72830.0,2,2,1
5.37,87350.7,2,2,1
7.1160000000000005,75868.6,2,2,1
7.073,92426.2,2,2,1
4.961,34082.7,4,0,4
7.001,86895.6,2,2,1
6.61,51231.3,3,4,4
4.3180000000000005,45293.2,4,0,4
6.3,63375.1,3,4,4
6.806,71451.7,2,2,1
6.41,35005.5,3,4,4
5.046,88044.4,2,2,4
5.3660000000000005,43228.1,3,4,4
5.607,62502.4,3,4,4
5.5379999999999985,80748.0,2,2,4
4.852,54883.0,3,4,4
6.444,69400.6,2,2,4
4.836,53293.3,3,4,4
6.352,60286.0,3,4,4
5.32,41637.5,3,4,4
6.681,59640.1,3,4,4
4.498,67341.6,3,4,4
5.875,42491.1,3,4,4
4.171,50230.1,4,0,4
5.375,49763.1,3,4,4
5.644,57828.3,3,4,4
6.167000000000002,59088.4,3,4,4
5.829,72782.5,3,2,4
6.105,49816.5,3,4,4
5.773,48236.2,3,4,4
6.3420000000000005,63509.6,3,4,4
5.263,42114.3,3,4,4
5.7429999999999986,46171.9,3,4,4
6.482,40232.4,3,4,4
5.7810000000000015,36971.7,3,4,4
5.533,36525.4,3,4,4
5.8,32797.1,3,3,0
5.437,43087.5,3,4,4
5.994,88066.6,2,2,1
5.23,59809.3,3,4,4
6.3629999999999995,87848.2,2,2,1
4.8889999999999985,53264.0,3,4,4
6.16,16632.6,1,3,0
3.0869999999999997,5912.300000000003,4,0,3
6.325,14982.800000000003,1,3,0
6.5760000000000005,30030.700000000004,1,3,0
6.733,31317.4,1,3,0
4.999,64465.8,3,4,4
4.95,44087.7,4,4,4
5.477,78479.1,2,2,4
6.817,25180.9,1,3,0
6.939,44984.1,3,4,4
6.8660000000000005,83512.6,2,2,1
4.773,54922.5,3,4,4
7.848,89337.6,2,2,1
5.852,83566.3,2,2,1
6.55,31464.700000000004,1,3,0
6.627000000000002,74906.1,2,2,1
7.276,44738.9,3,4,4
5.51,38000.9,3,4,4
5.667000000000002,39913.4,3,4,4
5.9670000000000005,45054.8,3,4,4
6.775,42703.7,3,4,4
6.84,42010.9,3,4,4
7.472,61707.1,2,2,1
5.901,47099.6,3,4,4
5.95,79149.4,2,2,1
7.955,34645.6,0,1,0
5.723,43417.2,3,4,4
6.357,81442.1,2,2,1
6.742000000000001,5818.0,1,3,0
5.955,44335.6,3,4,4
6.105,81621.6,2,2,1
5.289,85649.2,2,2,4
6.4289999999999985,79542.9,2,2,1
4.6850000000000005,51041.9,3,4,4
6.259,89598.2,2,2,1
