average_speed,distance,kmeans,minibatch,spectral
7.04,64046.5,C,C,A
7.371,38853.7,B,E,E
8.119,39075.8,E,E,E
6.839,51232.3,B,C,B
8.004,33474.1,E,E,E
6.89,38725.9,B,B,E
6.765,72983.4,C,C,C
7.042000000000002,38743.3,B,B,E
7.502999999999999,62466.600000000006,C,C,A
4.386,49682.90000000001,C,B,B
4.293,37621.1,B,B,D
4.279,32363.1,B,B,D
5.093,31072.6,B,B,D
3.936,42232.6,B,B,B
4.569,45554.3,B,B,B
5.54,27737.5,B,B,E
5.198,24972.5,B,B,D
5.6770000000000005,27711.4,B,B,E
4.876,24976.8,B,B,D
5.7379999999999995,27720.8,B,B,E
5.69,24982.7,B,B,E
6.779,27042.5,E,E,E
4.888,27833.1,B,B,D
5.976,24978.6,B,B,E
5.034,27838.6,B,B,D
6.212999999999999,24996.4,B,E,E
5.315,27744.4,B,B,E
6.004,24986.9,B,B,E
5.49,27742.2,B,B,E
6.232,24997.0,B,E,E
4.359,17690.4,A,A,D
5.224,27787.4,B,B,D
5.569,24981.9,B,B,E
5.681,27781.8,B,B,E
6.146,24983.0,B,E,E
5.593,27769.1,B,B,E
6.14,24994.8,B,E,E
5.4529999999999985,27747.4,B,B,E
6.21,25020.6,B,E,E
5.917999999999998,29938.0,B,B,E
5.93,24995.1,B,B,E
5.2429999999999986,27768.0,B,B,D
6.4060000000000015,25003.9,E,E,E
4.993,27770.8,B,B,D
6.233,24988.7,B,E,E
5.648,27744.1,B,B,E
6.325,25009.2,B,E,E
5.456,27725.9,B,B,E
6.252999999999999,25000.6,B,E,E
4.962,27717.6,B,B,D
6.18,24999.9,B,E,E
4.849,27744.9,B,B,D
6.1320000000000014,24989.4,B,E,E
5.9060000000000015,27798.7,B,B,E
6.212999999999999,25000.0,B,E,E
7.506,42320.5,B,E,E
5.359,27736.9,B,B,E
6.537000000000001,25016.5,E,E,E
5.466,31927.0,B,B,E
6.954,25012.4,E,E,E
5.77,27806.9,B,B,E
6.4220000000000015,24963.3,E,E,E
5.445,27729.7,B,B,E
6.1789999999999985,24981.8,B,E,E
5.641,27745.9,B,B,E
6.627999999999999,25013.7,E,E,E
8.782,45279.6,E,E,A
5.617000000000001,26873.4,B,B,E
6.308,25013.2,B,E,E
5.615,26810.3,B,B,E
6.372999999999998,24988.6,B,E,E
5.984,26768.0,B,B,E
6.324,24984.6,B,E,E
5.869,26772.6,B,B,E
6.3260000000000005,25083.1,B,E,E
5.484,27759.1,B,B,E
6.422999999999999,25266.2,E,E,E
6.6770000000000005,8600.1,E,E,E
4.297,9088.2,A,A,D
6.744,26639.8,E,E,E
6.888,24998.1,E,E,E
6.1110000000000015,27729.6,B,B,E
6.752999999999999,25006.8,E,E,E
5.809,27687.7,B,B,E
6.909,25004.1,E,E,E
6.1110000000000015,27603.7,B,B,E
6.872000000000001,25026.3,E,E,E
5.98,27855.3,B,B,E
6.625,25014.4,E,E,E
7.596,55186.2,C,C,A
6.005,27934.3,B,B,E
6.818,25177.5,E,E,E
5.186,73670.1,C,C,C
7.7620000000000005,64708.2,C,C,A
8.99,14932.7,E,E,E
5.995,27720.3,B,B,E
6.667999999999998,25030.2,E,E,E
6.539,27890.2,B,E,E
6.977,25025.2,E,E,E
5.875,27813.4,B,B,E
6.99,25067.0,E,E,E
5.791,27860.4,B,B,E
6.814,25027.2,E,E,E
5.5520000000000005,27859.7,B,B,E
6.771,25025.7,E,E,E
7.1720000000000015,22541.8,E,E,E
3.672,24029.8,A,A,D
8.66,22541.0,E,E,E
8.057,67364.8,C,C,A
3.4760000000000004,10715.9,A,A,D
8.02,66308.9,C,C,A
5.627000000000002,28336.8,B,B,E
6.824,25037.3,E,E,E
